
Estimated aggregate size of event trace:                   570MB
Estimated requirements for largest trace buffer (max_buf): 50MB
Estimated memory requirements (SCOREP_TOTAL_MEMORY):       52MB
(hint: When tracing set SCOREP_TOTAL_MEMORY=52MB to avoid intermediate flushes
 or reduce requirements using USR regions filters.)

flt     type max_buf[B]     visits time[s] time[%] time/visit[us]  region
         ALL 52,397,367 19,790,208  445.33   100.0          22.50  ALL
     OPENACC 33,006,428 14,045,736   81.47    18.3           5.80  OPENACC
         MPI 11,311,476  2,002,458  340.36    76.4         169.97  MPI
         COM  4,449,978  2,053,836   22.75     5.1          11.08  COM
         USR  3,721,016  1,688,166    0.74     0.2           0.44  USR
      SCOREP         41         12    0.01     0.0         865.41  SCOREP

         MPI  4,806,000    648,000    1.41     0.3           2.17  MPI_Irecv
         MPI  4,806,000    648,000    1.87     0.4           2.89  MPI_Isend
         USR  1,835,106    832,284    0.31     0.1           0.38  miniweather_hydro_const_theta
         USR  1,835,106    832,284    0.42     0.1           0.50  miniweather_injection
         MPI  1,404,000    648,000   15.27     3.4          23.56  MPI_Waitall
         COM  1,404,000    648,000    2.01     0.5           3.11  miniweather_semi_discrete_step
     OPENACC  1,404,000    648,000    8.63     1.9          13.32  acc_download@miniWeather_mpi_openacc.F90:368
     OPENACC  1,404,000    648,000    7.56     1.7          11.67  acc_upload@miniWeather_mpi_openacc.F90:378
     OPENACC  1,404,000    648,000    1.48     0.3           2.28  acc_data_enter@miniWeather_mpi_openacc.F90:220
     OPENACC  1,404,000    648,000    0.99     0.2           1.53  acc_compute@miniWeather_mpi_openacc.F90:220
     OPENACC  1,404,000    648,000    8.03     1.8          12.39  acc_launch_kernel@miniWeather_mpi_openacc.F90:220
     OPENACC  1,404,000    648,000    1.52     0.3           2.35  acc_data_exit@miniWeather_mpi_openacc.F90:220
     OPENACC    702,000    324,000    0.39     0.1           1.20  acc_data_exit@miniWeather_mpi_openacc.F90:417
     OPENACC    702,000    324,000    0.87     0.2           2.68  acc_data_enter@miniWeather_mpi_openacc.F90:381
     OPENACC    702,000    324,000    3.98     0.9          12.30  acc_launch_kernel@miniWeather_mpi_openacc.F90:301
     OPENACC    702,000    324,000    4.03     0.9          12.45  acc_launch_kernel@miniWeather_mpi_openacc.F90:417
     OPENACC    702,000    324,000    0.49     0.1           1.51  acc_compute@miniWeather_mpi_openacc.F90:417
     OPENACC    702,000    324,000    0.37     0.1           1.14  acc_data_enter@miniWeather_mpi_openacc.F90:417
         COM    702,000    324,000    0.77     0.2           2.39  miniweather_set_halo_values_z
         COM    702,000    324,000    1.42     0.3           4.37  miniweather_compute_tendencies_z
     OPENACC    702,000    324,000    0.99     0.2           3.07  acc_data_enter@miniWeather_mpi_openacc.F90:301
     OPENACC    702,000    324,000    1.06     0.2           3.28  acc_data_exit@miniWeather_mpi_openacc.F90:301
     OPENACC    702,000    324,000    0.51     0.1           1.56  acc_compute@miniWeather_mpi_openacc.F90:301
     OPENACC    702,000    324,000    0.57     0.1           1.75  acc_data_exit@miniWeather_mpi_openacc.F90:276
     OPENACC    702,000    324,000    4.09     0.9          12.62  acc_launch_kernel@miniWeather_mpi_openacc.F90:276
     OPENACC    702,000    324,000    0.49     0.1           1.51  acc_compute@miniWeather_mpi_openacc.F90:276
